ヒット文字列,出現数,法令名,XML_Num属性,タグ名,文脈スニペット
四百五十八条,45,地方税法,447_1_9,Sentence,の目的となつている財産（以下この号及び第四百五十八条第一項において「譲渡担保財産」という。）
八潮,44,公職選挙法,378,Sentence,八潮市
二百六十六条,44,商法,4_1,Sentence,当該権利を有する取締役についての新商法第二百六十六条第七項第一号及び第三号、同条第十項及び第
三連,44,モーターボート競走法施行規則,20_2_1_2,Sentence,三連勝単式勝舟投票法
一法,44,地方自治法施行令,30_1,Sentence,規定による改正前の地方自治法施行令別表第一法人税法施行令（昭和四十年政令第九十七号）
十四、,44,建築基準法施行規則,,RelatedArticleNum,（第六条の三、第十条の二十三、第十条の二十四、第十一条の三関係）（Ａ４）
八十か,44,国民年金法,10_1_4,Sentence,に係る保険料四分の一免除期間の月数（四百八十から保険料納付済期間の月数並びに平成二十一
九平,44,医療法施行規則,17_1_5,Sentence,入所施設を有する助産所にあつては、床面積九平方メートル以上の分べん室を設けること。
八百三十条,44,農業協同組合法,47_1,Sentence,確認又は取消しの訴えについては、会社法第八百三十条、第八百三十一条、第八百三十四条（第十六
〇、,44,船舶設備規程,146_16_1,Sentence,航海用レーダー搭載船であつて総トン数一〇、〇〇〇トン以上の船舶には、機能等について
〇・五本,44,地方税法,74_4_3_2,Sentence,ろにより計算した金額をもつて紙巻たばこの〇・五本に換算する方法
六十万,44,相続税法,21_11_2_1,Sentence,の贈与税については、贈与税の課税価格から六十万円を控除する。
百八十三号,44,商法,1_1,Sentence,金融事業に関する法律（昭和二十四年法律第百八十三号）第五条の五の次に一条を加える改正規定及
二Ｉ,44,航空法施行規則,99_1_6_2,Sentence,カテゴリー二ＩＬＳ（当該ＩＬＳを利用して精密進入を行う
二百六十四条,44,危険物船舶運送及び貯蔵規則,264_2,Sentence,とあるのは「危険物船舶運送及び貯蔵規則第二百六十四条第二項の液体化学薬品ばら積船」と読み替え
百八号,44,一般職の職員の給与に関する法律,1_1,Sentence,等の一部を改正する法律（平成十九年法律第百八号）附則第一条第三号の政令で定める日から、
二百メ,44,運河法施行規則,7_1_1,Sentence,等及之ニ要スル土地ノ区画、用地以外左右各二百メートル以内ノ地勢、附近ノ市街、村落、鉄道
三百三十二条,44,商品先物取引法,345_1,Sentence,一項各号」と、第三百四十一条第一項中「第三百三十二条第二項第一号、第三号及び第四号」とあるの
十七に,44,社会福祉法施行規則,2_35_1,Sentence,細書に係るものに限る。次条及び第二条の三十七において同じ。）については、次条及び第二条
四百六十一条,44,少年法,68_1,Sentence,し、当該罪に係る事件について刑事訴訟法第四百六十一条の請求がされた場合（同法第四百六十三条第
九十分,44,児童福祉法施行令,25_5_1_5,Sentence,う。以下この号において同じ。）の合計額に九十分の百（同法第四十九条の二第一項又は第五十
九戸,44,下級裁判所の設立及び管轄区域に関する法律,,Sentence,九戸郡の内
六頭,44,家畜伝染病予防法施行規則,21_5_1,Sentence,ては六頭未満、鶏、あひる、うずら、きじ、ほろほろ
一着,44,モーターボート競走法施行規則,21_1,Sentence,単勝式勝舟投票法においては、第一着となつたモーターボートを勝舟とする。
六割,44,地方自治法,8_1_2,Sentence,形成している区域内に在る戸数が、全戸数の六割以上であること。
五十五第,44,地方税法施行規則,6_7_2,Sentence,第二条の二第二項の規定は、法第七十二条の五十五第一項及び第二項の規定による申告書を提出す
五表,44,下級裁判所の設立及び管轄区域に関する法律,2_1,Sentence,別表第五表の通り各高等裁判所、地方裁判所、家庭裁判
〇・五メ,44,無軌条電車建設規則,2_1_3,Sentence,とは、路面の幅員から両側においてそれぞれ〇・五メートルを除いた幅員（歩道と車道の区別のあ
二未,44,漁船検査規則,6_1_4,Sentence,二二未満
〇東,44,都市再生緊急整備地域及び特定都市再生緊急整備地域を定める政令,1_1,Sentence,（ｉｉｉ）　北緯三三度五〇分三二秒・四〇東経一三二度四五分三秒・八九の地点
五前,43,商法,7_1,Sentence,この法律の施行の際旧商法第二百三十条ノ五前段の規定による定款の定めがない株式会社（
四Ｈ,43,麻薬及び向精神薬取締法施行令,,Sentence,十七　八―クロロ―六―フェニル―四Ｈ―ｓ―トリアゾロ〔四・三―ａ〕〔一・四〕
二百八十五条,43,企業再建整備法,39_1,Sentence,価額は、当該財産については、これを商法第二百八十五条ノ二、第二百八十五条ノ三及び第二百八十五
十九）,43,刑事訴訟法,,ArticleRange,（第三百十六条の三十三―第三百十六条の三十九）
四十六第,43,地方税法,701_56_3,Sentence,第一項に規定するもののほか、第七百一条の四十六第一項又は第七百一条の四十七第一項の規定に
六若,43,協同組合による金融事業に関する法律,12_1_16,Sentence,十の三十四第一項、第五十二条の六十一の十六若しくは第五十二条の六十一の二十八第一項の
二ニ,43,砂防法施行規程,6_1,Sentence,砂防法第二十二条（同法第三条ノ二ニ於テ準用スル場合ヲ含ム）ニ依リ都道府県知
百三十五万,43,地方税法,24_5_1_2,Sentence,とり親（これらの者の前年の合計所得金額が百三十五万円を超える場合を除く。）
四本,43,建築基準法施行令,77_1_1,Sentence,主筋は、四本以上とすること。
七学,43,学校教育法施行規則,79_3_1,Sentence,義務教育学校の学級数は、十八学級以上二十七学級以下を標準とする。
六個,43,検疫所長等服制,,Sentence,字を配する。検疫所長にあっては金色の桜章六個及び金色の線三本を、検疫所の次長、企画調
百二十で,43,租税特別措置法,17_2,Sentence,金額に当該各事業年度の月数を乗じてこれを百二十で除して計算した金額（当該金額が当該各事業
六十度,43,船舶設備規程,6,Sentence,が満了する日までの間は、当該記載は「摂氏六十度以下」と書き換えられたものとみなす。
六百六十七条,43,消費生活協同組合法施行規則,227_2_16_3,Sentence,に掲げる行為を行うことを目的とする民法第六百六十七条第一項に規定する組合契約又は投資事業有限
八編,43,船舶設備規程,,PartTitle,第八編　無線電信等
三十キ,43,火薬類取締法施行規則,4_1_7,Sentence,、その原料をなす火薬又は爆薬の停滞量）が三十キログラム以下の放爆式構造又は準放爆式構造
四百三十三条,43,地方税法,433_11,Sentence,節に規定する審理手続」とあるのは「同法第四百三十三条に規定する審査の決定の手続」と、同法第二
百十九号,43,土地収用法施行令,,EnactStatement,内閣は、土地収用法（昭和二十六年法律第二百十九号）第百二十五条、第百三十五条第二項、第百
百二十号,43,社会教育法,1_1,Sentence,この法律は、教育基本法（平成十八年法律第百二十号）の精神に則り、社会教育に関する国及び地
六セ,43,関税定率法,,Sentence,（ａ）　幅が三六センチメートルを超えるストリップ状又はロー
百六十七号,43,漁業財団抵当法,1_1,Sentence,個別漁業権（漁業法（昭和二十四年法律第二百六十七号）第六十二条第二項第一号ホニ規定スル個別
三ハ,43,冷凍保安規則,,Sentence,備考　上欄一ロの項下欄第四号及び上欄三ハの項下欄第四号に規定する本社には、出資、
二十一に,42,中小企業等協同組合法,69_4_1,Sentence,）並びに第三百十一条第一項（第三百八条の二十一に係る部分に限る。）及び第二項（検査職員の
三酸,42,関税定率法,,Sentence,三酸化クロム
八百十七条,42,児童福祉法,33_6_4_2,Sentence,他の適当な者に対し、当該児童に係る民法第八百十七条の二第一項に規定する請求を行うことを勧奨
五百九十条,42,地方税法,9_1,Sentence,定めがあるものを除き、新法の規定（新法第五百九十条から第五百九十二条までの規定を除く。）中
二営,42,支出官事務規程,10_1,Sentence,定をする場合には、当該職員給与の支給日の二営業日前の日までに支出の決定をしなければな
一倍,42,北海道国有未開地処分法施行規則,3_3,Sentence,テハ第一項面積ノ一倍半迄累加スルコトヲ得
一社,42,地方自治法,1_1_3,Sentence,第十四条（地方自治法別表第一社会福祉法（昭和二十六年法律第四十五号）の
五・一〇五」,42,地方税法,7_3_1,Sentence,五分の五」とあるのは「八十四・八九五分の五・一〇五」と、「八十分の十」とあるのは「七十九・七
六九三」,42,地方税法,7_3_1,Sentence,」とあるのは「五十六・三〇七分の三十三・六九三」とする。
四百三十条,42,協同組合による金融事業に関する法律,6_2_2,Sentence,の間の訴えにおける会社の代表等）並びに第四百三十条（役員等の連帯責任）の規定を準用する。
一発,42,航空法施行規則,150_1,Sentence,送事業の用に供するものを除く。）であつて一発動機が不作動の場合にも緊急着陸に適した空
四百五十万,42,地方税法,34_2_3,Sentence,当該納税義務者の前年の合計所得金額が二千四百五十万円を超え二千五百万円以下である場合
百三十,42,地方税法,149_3,Sentence,令和二年度基準エネルギー消費効率に百分の百三十
五十九・三七」,42,地方税法,5_6_1,Sentence,第四号中「百分の六十」とあるのは「百分の五十九・三七」と、同項第五号中「百分の七十五」とあるの
九十五,42,地方税法,157_4,Sentence,令和四年度基準エネルギー消費効率に百分の九十五
〇・九二六」,42,厚生年金保険法,51_1,Sentence,前年度に属する月に係る率」とあるのは、「〇・九二六」と読み替えるものとする。
六・五一七分,42,地方税法,7_3_1,Sentence,と、「六十七分の二十三」とあるのは「六十六・五一七分の二十三・四八三」と、「五十七分の三十三
三百十八条,42,金融商品取引法,4_10_9,Sentence,託者保護基金について、新商品先物取引法第三百十八条第一項の規定による同項に規定する財務諸表
六イ,42,防衛省の職員の給与等に関する法律施行令,12_6_1_1,Sentence,自衛隊教官俸給表又は一般職給与法別表第六イ教育職俸給表（一）若しくは別表第八イ医療
七平,42,船舶設備規程,311_14_1_1,Sentence,底面積が七平方メートル（上部にすみ金具を有しないもの
三笠,42,下級裁判所の設立及び管轄区域に関する法律,,Sentence,岩見沢市　美唄市　三笠市　夕張郡
五百三十六条,42,地方税法,22_1,Sentence,当該提出期限が到来した鉱産税に係る旧法第五百三十六条に規定する不申告加算金（同条第四項の規定
六倍,42,船舶設備規程,,Sentence,最大積載重量の〇・六倍
一塩,42,関税定率法,,Sentence,一塩化硫黄
〇・六以,42,地方税法,18_4,Sentence,のうち当該商業地等の当該年度の負担水準が〇・六以上〇・七以下のものに係る令和六年度から令
三地,42,電波法,,Sentence,設置場所が第三地域の区域内にあるもの
七営,41,日本銀行政府有価証券取扱規程,38_1,Sentence,求書ノ番号ヲ記載シタル書類ヲ添ヘ翌月ノ第七営業日（「営業日」トハ日本銀行ノ休日ヲ除ク
二十一歳,41,航空法施行規則,43_1,Sentence,期運送用操縦士の資格に係るものにあつては二十一歳以上の者であつて、別表第二に掲げる飛行経
十一、,41,刑事訴訟法,1_1_4,Sentence,定、同法第三百十六条の五、第三百十六条の十一、第三百十六条の二十三第三項、第三百四十三
百倍,41,警察官の職務に協力援助した者の災害給付に関する法律施行令,10_6_1_2,Sentence,七百倍
十九日,41,船員保険法,3,Sentence,前項の規定にかかわらず、昭和三十年七月二十九日以後職務上の事由による外傷性せき髄障害（
七海,41,漁業の許可及び取締り等に関する省令,,Sentence,（１）　宮崎県串間市都井岬突端正東七海里の点
八若,41,地方税法,72_32_2_2,Sentence,七十二条の二十五、第七十二条の二十八若しくは第七十二条の二十九の規定による申告
一科,41,公認会計士法,8_2_5,Sentence,次の科目のうち受験者のあらかじめ選択する一科目
七東,41,農林水産省組織規則,1_1,Sentence,津名郡」に改める部分及び別表第七東北の項の改正規定
六十二号,41,地方自治法施行令,3_1,Sentence,び運営に関する法律（昭和三十一年法律第百六十二号）第八条第二項において準用する場合を含む
四百五十メ,41,航空法施行規則,117_1_16,Sentence,から最も見やすい位置から滑走路終端の側に四百五十メートルまでの間に、約三十メートルの等間隔
四十の,41,火薬類取締法施行規則,81_11_13_1,Sentence,をしようとする指定完成検査機関は、様式第四十の指定完成検査機関業務休廃止届を経済産業大
二百二号,41,地方税法,11_10,Sentence,農業近代化資金融通法（昭和三十六年法律第二百二号）第二条第三項に規定する農業近代化資金で
三十二の,41,火薬類取締法施行規則,78_2_1,Sentence,者免状の交付を受けようとする者は、様式第三十二の免状交付申請書に当該試験に合格した者であ
六平,41,港湾法施行令,14_1_3,Sentence,であつて、揚水機の吐出口の断面積の合計が六平方センチメートルを超え、かつ、そのストレ
千ヘ,41,土地改良法施行規則,89_2_1,Sentence,千ヘクタールとする。
八雲,41,下級裁判所の設立及び管轄区域に関する法律,,Sentence,八雲簡易裁判所
三十九第,41,地方自治法施行令,174_49_38_1,Sentence,四項において準用する同法第二百五十二条の三十九第五項」と、第百七十四条の四十九の三十五中
四］,41,麻薬及び向精神薬取締法施行規則,,Sentence,二・四］トリアゾロ［四・三―ａ］［一・四］ジアゼピン（別名エチゾラム）、その塩類及
四別,41,人事院規則一〇―五（職員の放射線障害の防止）,26_1,Sentence,放射線業務従事職員に係る規則一〇―四別表第三第二号に掲げる業務に係る同規則第十
五百キ,40,農産物検査法施行規則,3_1,Sentence,物であって包装されていないものにあっては五百キログラムに満たないもの、その他の農産物に
九十五パ,40,障害者の雇用の促進等に関する法律,3_1,Sentence,の総数に当該除外率設定機関に係る除外率（九十五パーセント以内において政令で定める率をいう
三管,40,海洋汚染等及び海上災害の防止に関する法律施行規則,41_6,Sentence,部長（当該積込地が本邦外であるときは、第三管区海上保安本部長）
八十七号,40,教育公務員特例法施行令,3,Sentence,の一部を改正する法律（平成二十八年法律第八十七号）第一条の規定による改正前の法第二十四条
七ギ,40,エネルギーの使用の合理化及び非化石エネルギーへの転換等に関する法律施行規則,,Sentence,五十四・七ギガジュール
八た,40,地方税法,1_1_2,Sentence,法第七十二条の十八ただし書の改正規定、同法第七十二条の二十一
四Ｇ,40,電波法施行規則,4_4_4,Sentence,ＧＨｚを超え六四ＧＨｚ以下の周波数の電波を使用するもの（設
二ｋ,40,電波法施行規則,12_1,Sentence,Ｆ一Ｂ電波四、二〇七・五ｋＨｚ、六、三一二ｋＨｚ、八、四一四・五ｋＨｚ、一二、五七七
三〇〇キ,40,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,3_1_3_2,Sentence,することができるロケット又はペイロードを三〇〇キロメートル以上運搬することができる無人航
十並,40,農業協同組合法,70_3_5,Sentence,の二、民法第三百九十八条の十並びに事業性融資の推進等に関する法律（令和
八東,40,水質汚濁防止法施行令,,Sentence,山に限る。）及び向原町（戸島（字割石、字八東戸及び字負根を除く。）を除く。）を除く。
一代,40,国際信号旗ノ寸法ニ関スル件,32,Sentence,第一代表旗
五旅,40,自衛隊法,,Sentence,第五旅団
二自,40,防衛省の職員の給与等に関する法律,4_1,Sentence,給表若しくは同法別表第二自衛官俸給表の適用を受ける職員でその職務の
百四十九号,40,地方財政法,1_1,Sentence,の一部を改正する法律（昭和三十八年法律第百四十九号）の施行の日から施行する。
二百円,40,労働者災害補償保険法,31_2,Sentence,（厚生労働省令で定める者を除く。）から、二百円を超えない範囲内で厚生労働省令で定める額
四百十六条,40,商法,19_1,Sentence,前に合併契約書が作成された合併（旧商法第四百十六条第三項に規定する合併による株式併合をする
十六章,40,政治資金規正法,3_1,Sentence,なお、この法律による改正前の公職選挙法第十六章（これを準用する場合を含む。）及び政治資
八海,40,漁業の許可及び取締り等に関する省令,,Sentence,結ぶ線上艫作埼突端一・八海里の点
三百六十八条,40,農業協同組合法,34_6,Sentence,前項の規定による招集については、会社法第三百六十八条第一項の規定を準用する。
一市,40,恩給法,84_1,Sentence,一市町村立小学校教員退隠料及遺族扶助料法
三木,40,公職選挙法,1039,Sentence,三木市
一追,40,刑法,1_1,Sentence,この法律は、第一追加議定書が日本国について効力を生ずる日か
三百二十四条,40,金融商品取引法,4_9_6,Sentence,託者保護基金についての新商品先物取引法第三百二十四条第一項の規定による設立の認可の取消し
十周,40,通貨の単位及び貨幣の発行等に関する法律施行令,,TableStructTitle,六　百円の貨幣のうち新幹線鉄道開業五十周年を記念するため発行するもの
三営,39,財政融資資金の管理及び運用の手続に関する規則,4_3_1,Sentence,けるため、当該通知書に指定された貸付日の三営業日前までに、財務大臣に財務大臣が別に定
九並,39,旧令による共済組合等からの年金受給者のための特別措置法,1_2,Sentence,第一の十六、別表第三の十六、別表第四の十九並びに別表第十の規定、第二条の規定による改
三十三万,39,健康保険法,2_1,Sentence,当該標準報酬月額の基礎となつた報酬月額が三十三万円未満である者を除く。）の標準報酬は、当
五μ,39,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,5_67,Sentence,一―メチルエチルとして一五μｇ以下を含有する点眼剤を除く。
〇ビ,39,無線設備規則,40_4_3_1_2,Sentence,毎秒三、〇〇〇ビット
十八月,39,連合国財産補償法,15_1,Sentence,に効力の発生した平和条約の効力発生時から十八月以内に、日本政府に対し、補償金支払請求書
十八か,39,租税特別措置法,122_9,Sentence,「旧効力措置法」という。）第六十八条の七十八から第六十八条の八十まで」と、新租税特別措
三池,39,下級裁判所の設立及び管轄区域に関する法律,,Sentence,大牟田市　三池郡
二十四で,39,租税特別措置法,17_1,Sentence,金額に当該各事業年度の月数を乗じてこれを二十四で除して算出した金額（当該金額が当該各事業
一並,39,社会保険診療報酬支払基金法,15_2_1,Sentence,十及び第二十四条の二十一並びに母子保健法（昭和四十年法律第百四十一
一航,39,港則法施行規則,29_4_1,Sentence,四日市港において、第一航路を航行する船舶と午起航路を航行する船舶
二百七十一号,39,地方自治法施行令,,Sentence,信用保証協会法施行令（昭和二十八年政令第二百七十一号）
十五キ,39,建築基準法施行令,129_6_1_5,Sentence,メートル毎秒毎秒と、一人当たりの体重を六十五キログラムとして計算した定員をいう。第百二
二航,39,港則法施行規則,8_2_1,Sentence,関門第二航路
八十五号,39,労働者災害補償保険法,26_1,Sentence,の一部を改正する法律（昭和四十八年法律第八十五号。以下「昭和四十八年改正法」という。）附
一横,39,公証人定員規則,1_1,Sentence,定並びに第四条中別表第一横手人権擁護委員協議会の項の改正規定
三線,39,船舶設備規程,173_1_2,Sentence,直流三線式
二十二に,39,放射性同位元素等の規制に関する法律施行令,25_1,Sentence,第四十一条の二十一の二並びに第四十一条の二十二において準用する第四十条及び前条第二項
五〇ワ,38,無線局（基幹放送局を除く。）の開設の根本的基準,6_2_1_2,Sentence,るアマチユア局の無線設備は、空中線電力が五〇ワツト以下のものであること。
六百二十九条,38,地方税法,626_1,Sentence,て課する特別土地保有税が課される土地（第六百二十九条第一項の規定の適用を受けるものを除く。）
二十以,38,金融商品取引法,79_29_1,Sentence,金を設立するには、その会員になろうとする二十以上の金融商品取引業者が発起人とならなけれ
九又,38,消費生活協同組合法,99_3_1_5,Sentence,第九十八条の六、第九十八条の九又は前条
七百九十九条,38,無尽業法施行細則,21_1_5_2,Sentence,合を含む。次条において同じ。）若しくは第七百九十九条第二項又は第八百十条第二項（第三号を除き
三十セ,38,建築基準法施行令,23_2,Sentence,おける踏面の寸法は、踏面の狭い方の端から三十センチメートルの位置において測るものとする
二十七、,38,地方財政法,1_1,Sentence,の四から第七十三条の七まで、第七十三条の二十七、第七十三条の二十七の三、第七十三条の二十
七百十一条,38,医療法,91_1_10,Sentence,は第五十四条の七において準用する会社法第七百十一条第一項（第五十四条の七において準用する同
六十五万,38,私立学校教職員共済法施行規則,3_13_1,Sentence,きは、当該決定又は改定された額（その額が六十五万円を超えるときは、六十五万円とする。）を
三備,38,教育職員免許法,16_2,Sentence,事務を独立行政法人教職員支援機構（別表第三備考第十一号において「機構」という。）に行
七十五未,38,地方税法施行規則,15_11_3_2,Sentence,令和十二年度燃費基準達成レベルが七十以上七十五未満であること及び当該軽自動車に係る自動車
四表,38,下級裁判所の設立及び管轄区域に関する法律,1_1,Sentence,裁判所を、別表第四表の通り簡易裁判所をそれぞれ設立する。
八Ｇ,38,電波法施行規則,32_8_2,Sentence,Ｈｚを超え一四・八ＧＨｚ以下の周波数の電波を使用するもののう
一Ｇ,38,電波法施行規則,6_4_2_11,Sentence,六〇ＧＨｚを超え六一ＧＨｚ以下の周波数
三グ,38,火薬類取締法施行規則,1_5_1_1_4,Sentence,に限る。）〇・三グラム（硫化ひ素を含むものにあつては、爆薬
九十八号,38,地方自治法施行令,,Sentence,自然公園法施行令（昭和三十二年政令第二百九十八号）
七Ｇ,38,電波法施行規則,4_4_2_6,Sentence,無線標定業務を行う無線局であつて、七七ＧＨｚを超え八一ＧＨｚ以下の周波数の電波を
百八項,38,地方税法施行規則,9_2_10,Sentence,く。）の基準又は適用関係告示第二十八条第百八項の基準とする。
四乗,38,エネルギーの使用の合理化及び非化石エネルギーへの転換等に関する法律施行規則,35_2_1,Sentence,して得た割合を四乗根して得た割合又は当該年度に係るエネルギ
七十二時,38,刑事訴訟法,205_2,Sentence,の制限は、被疑者が身体を拘束された時から七十二時間を超えることができない。
三十一に,38,地方税法,71_29_1,Sentence,額に係るもの（以下この条及び第七十一条の三十一において「国外特定配当等」という。）の支払
六部,38,関税定率法,1_7,Subitem1Title,第六部
一が,38,船舶設備規程,205_2_1,Sentence,の場合において、当該変圧器は、そのうちの一が故障したときにおいても給電を維持できるも
二十九人,38,養護老人ホームの設備及び運営に関する基準,12_6,Sentence,体施設とは別の場所で運営される入所定員が二十九人以下の養護老人ホームをいう。以下この条に
十二営,37,政府所有有価証券取扱規程,6_2,Sentence,ルトキハ当該突合表ノ送付ヲ受ケタル月ノ第十二営業日（「営業日」トハ日本銀行ノ休日ヲ除ク
七十万,37,租税特別措置法施行令,11_2,Sentence,項において「適用対象投資額」という。）が七十万円以上であるとき（平成二十年における適用
四百八十か,37,国民年金法,27_1_8,Sentence,された保険料に係るものを除く。）の月数（四百八十から保険料納付済期間の月数、保険料四分の一
八ｍ,37,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,2_22,Sentence,ニコチンとして一枚中七八ｍｇ以下を含有する貼付剤
八リ,37,経済産業省生産動態統計調査規則,,Sentence,十八リットル缶
五十七項,37,租税特別措置法施行規則,23_9_42_2,Sentence,得た割合（最初の売上判定事業年度（同条第五十七項第一号に規定する売上判定事業年度をいう。
七で,37,労働基準法,32_3_3,Sentence,たときは、当該清算期間における日数を七で除して得た数をもつてその時間を除して得た
十五セ,37,労働基準法施行規則,,Sentence,（ロ）　満十七歳の者については、身長百五十五センチメートル以上、体重五十一キログラム以
四ノ,37,供託法,1_8_1,Sentence,第一条ノ四ノ審査請求ニ関スル行政不服審査法ノ規定ノ適
百マ,37,建築基準法施行令,116_1,Sentence,三百マッチトン
八ｋ,37,電波法施行規則,12_9,Sentence,Ｆ一Ｂ電波四二四ｋＨｚ又は五一八ｋＨｚ
九百七十八年,37,船員法,1_1_3,Sentence,平成二十八年十一月二十五日に採択された千九百七十八年の船員の訓練及び資格証明並びに当直の基準
三百六十二号,37,健康保険法施行令,43_3_5,Sentence,国民健康保険法施行令（昭和三十三年政令第三百六十二号）第二十九条の四の三第一項並びに第二十九
十津,37,下級裁判所の設立及び管轄区域に関する法律,,Sentence,西吉野村　大塔村　十津川村　野迫川村
二ヘ,37,土地改良法施行令,49_1_5_1,Rt,のの補強にあつては、おおむね二ヘクタール）以上の地積にわたる土地を受益地
百台,37,漁業災害補償法施行令,25_1_2,Sentence,百台
一重,37,軌道法施行規則,9_1_17_1,Sentence,一重量運転整備ノトキニ於ケル総重量ヲ瓲ヲ以テ
九キ,37,電波法施行規則,31_3_1_3,Sentence,一三八・九キロメートル以上
三十歳,37,租税特別措置法,70_2_2_16_1,Sentence,受贈者が三十歳に達したこと（当該受贈者が三十歳に達した日において学校等に在学している場
五〇〇ト,37,船舶設備規程,2_1,Sentence,は近海区域を航行区域とするもの（総トン数五〇〇トン未満の船舶であつて旅客船以外のものを除
一千万,37,協同組合による金融事業に関する法律,2_2,Sentence,額は、信用協同組合の出資の総額にあつては一千万円、信用協同組合連合会の出資の総額にあつ
四百二十四条,37,民法,370_1,Sentence,定めがある場合及び債務者の行為について第四百二十四条第三項に規定する詐害行為取消請求をするこ
十デ,37,漁船検査規則,13_1_5,Sentence,受信器には、調整可能範囲が三十デシベル以上であつて作動が安定した利得調整
十五）,37,商品先物取引法,,ArticleRange,（第二百四十条の二十二―第二百四十条の二十五）
十三（,37,酒税法,10_1_7_2,Sentence,提供に係る部分に限り、同法第三十一条の二十三（準用）及び第三十二条第三項（深夜における
二百五十六条,37,企業再建整備法施行令,8_2,Sentence,式会社の取締役又は監査役の任期は、商法第二百五十六条第三項（同法第二百八十条において準用する
六百八十四条,37,地方税法,690_1,Sentence,税について同様とする。）後にその税金（第六百八十四条の二第二項の規定による修正に因り増加した
三十八の,37,金融商品取引法,1_1_2,Sentence,三十四条の二十の二第一項及び第三十四条の三十八の改正規定
二十九第,37,公認会計士法,34_34_6_1_3_1,Sentence,第三十四条の二十一第二項又は第三十四条の二十九第二項の規定により業務の停止を命ぜられ、当
八並,37,健康保険法施行規則,2,Sentence,八並びに高齢者の医療の確保に関する法律施行規
百四十一号,37,戦傷病者戦没者遺族等援護法,8_3_2_2_1,Sentence,当該年度の国民年金法（昭和三十四年法律第百四十一号）第二十七条に規定する改定率（同法第二十
百四十七号,37,検察審査会の名称及び管轄区域等を定める政令,,EnactStatement,内閣は、検察審査会法（昭和二十三年法律第百四十七号）第一条の規定に基き、この政令を制定する
十若,36,地方税法施行規則,16_22_1_2_1,Sentence,同法第十六条又は第二十五条の三十若しくは第三十一条により準用される第十六条
〇・一％,36,関税定率法,,Sentence,素（硫黄、りん、炭素及び窒素を除く。）　〇・一％
千四百円,36,船員保険法,87_3,Sentence,ノトス）、子三人以上アルトキハ四十四万九千四百円ニ改定率ヲ乗ジテ得タル額（其ノ額ニ五十円
三改,36,装置型式指定規則,5_1,Sentence,第百五十四号第三改訂版
二〇〇ト,36,船舶設備規程,110_1,Sentence,は沿海区域を航行区域とする船舶（総トン数二〇〇トン未満の船舶であつて国際航海に従事しない
八十五パ,36,道路交通法施行規則,7_1,Sentence,、その合格基準は、論文式のものにあつては八十五パーセント以上、その他のものにあつては九十
二相,36,船舶設備規程,221_1_1,Sentence,少くとも二相に過負荷引きはずし装置を有する連動三極自
四東,36,排他的経済水域及び大陸棚に関する法律第二条第二号の海域を定める政令,1,Sentence,（１１）　北緯二七度二四分三二秒・九三六四東経一四六度一分五〇秒・八五六一の点
六百九条,36,中小企業等協同組合法,9_6_1,Sentence,倉荷証券を発行した場合については、商法第六百九条から第六百十二条まで及び第六百十五条から
三宅,36,下級裁判所の設立及び管轄区域に関する法律,,Sentence,特別区の存する区域　三宅村　御蔵島村　小笠原村
百十八号,36,保健師助産師看護師学校養成所指定規則,7_1,Sentence,体（地方独立行政法人法（平成十五年法律第百十八号）第六十八条第一項に規定する公立大学法人
七ｍ,36,乳及び乳製品の成分規格等に関する命令,10_1,Sentence,六・三五七ｍｇの銅に相当する。この滴定数から甲液一〇
十二章,36,政治資金規正法,38_2,Sentence,掲げる選挙以外のもので衆議院議員選挙法第十二章の規定を準用する選挙について、これを準用
十ル,36,事業附属寄宿舎規程,18_2_3,Sentence,廊下の照度は、十ルクス以上であること。
五百メ,36,職業安定法施行規則,24_3_1_3,Sentence,た貨物の特定港湾の水域の沿岸からおおむね五百メートル（水島港にあつては千メートル、鹿児
一・四―,36,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,5_6,Sentence,チル］―四―（オルト―クロロフエニル）―一・四―ジヒドロ―六―メチル―三・五―ピリジンジ
三百十八号,36,労働基準法施行規則,50_2_1_3_2,Sentence,労働安全衛生法施行令（昭和四十七年政令第三百十八号）第六条第三号に規定する機械集材装置又は
千以,36,建築基準法施行令,129_2_5_3,Sentence,百万分の千以下であること。
六十の,36,協同組合による金融事業に関する法律,6_5_2,Sentence,六条の四の七第三号」と、同法第五十二条の六十の三十八（外国電子決済等取扱業者の勧誘の禁
千二百万,36,租税特別措置法,29_2_1,Sentence,権の行使に係る権利行使価額との合計額が、千二百万円を超えることとなる場合には、当該千二百
四百四十九条,36,刑事訴訟法,451_1,Sentence,審開始の決定が確定した事件については、第四百四十九条の場合を除いては、その審級に従い、更に審
五戸,36,下級裁判所の設立及び管轄区域に関する法律,,Sentence,五戸町　新郷村
千二百円,36,金融機関経理応急措置法施行令,2_1_4,Sentence,き保険料で未払込のものを含む。）の総額が千二百円以下の生命保険契約については、その責任準
三フ,36,一般高圧ガス保安規則,2_1_2,Sentence,フッ化ホウ素、三フッ化リン、シアン化水素、ジエチルアミン、
